2018 07 183 11:14:56.798 SmartHome2 user:unknown [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018 07 183 11:14:56.907 SmartHome2 user:unknown [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.2.16.Final}
2018 07 183 11:14:56.908 SmartHome2 user:unknown [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018 07 183 11:14:56.948 SmartHome2 user:unknown [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018 07 183 11:14:57.164 SmartHome2 user:unknown [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018 07 183 11:14:57.799 SmartHome2 user:unknown [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2018 07 183 11:14:58.494 SmartHome2 user:unknown [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018 07 183 11:14:58.563 SmartHome2 user:unknown [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hello],methods=[GET]}" onto public java.lang.String se.home.controller.PersonController.getHello()
2018 07 183 11:14:58.564 SmartHome2 user:unknown [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person],methods=[GET]}" onto public java.lang.String se.home.controller.PersonController.getPerson()
2018 07 183 11:14:58.564 SmartHome2 user:unknown [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person/{id}]}" onto public java.lang.String se.home.controller.PersonController.getPerson(java.lang.Long)
2018 07 183 11:14:58.566 SmartHome2 user:unknown [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/v2/api-docs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)
2018 07 183 11:14:58.569 SmartHome2 user:unknown [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
